smiles,density,eat,eea,egb,egc,ei,eps,mt,nc,tg
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCO*)cc1,,,,,,,,,,70.0
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(*)cc3)c2)cc1,,,,,,,,,,264.0
*Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(*)cc3)cc2)cc1,,,,,,,,,,240.5
*CCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,,,,,,,,,,45.0
*CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,,,,,,,,,,47.0
*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,,,,,,,,,,225.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,,,,,,,,,186.0
*OC(*)CCCCCC,,,,,,,,,,-116.0
*CCOCCOC(=O)CCCCC(=O)O*,,,,,,,,,,-51.0
*CCOC(=O)c1ccc(C(C)(CC)c2ccc(C(=O)O*)cc2)cc1,,,,,,,,,,95.0
*c1ccc(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,,,,,,,,,,1.287
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(Cc4ccc(*)cc4)cc3)cc2)cc1,,,,,,,,,,189.55
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,,,,,,,,,,91.0
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,,,,,,,,,,167.5
*OC(F)(F)C(F)(F)C(F)(F)C(*)(F)F,,,,,,,,,,-55.0
*CC(CCCCCCCCCC)O*,,,,,,,,,,-41.0
*CC1CC(*)OC(CCC)O1,,,,,,,,,,58.0
*OC1CCCCC1*,,,,,,,,,,68.5
*CCCCCCCCc1nnc(*)o1,,,,,,,,,,300.0
*CCCCCCCCCc1nnc(*)o1,,,,,,,,,,98.5
*CCCCCCCCCCc1nnc(*)o1,,,,,,,,,,110.0
*c1ccc(Oc2ccc(-c3nnc(*)o3)cc2)cc1,,,,,,,,,,240.0
*c1ccc(C2(c3ccc(-c4nnc(*)o4)cc3)OC(=O)c3ccccc32)cc1,,,,,,,,,,380.0
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,,,,,,,,,,147.5
*Oc1cccc(S(=O)(=O)c2ccc(*)cc2)c1,,,,,,,,,,175.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(c4ccc(*)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)cc1,,,,,,,,,,199.7
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(C(C)(C)c4cc(C)c(*)c(C)c4)cc3C)cc2)cc1,,,,,,,,,,231.3
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(c4ccccc4)c4ccc(*)cc4)cc3)cc2)cc1,,,,,,,,,,207.0
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,,,,,,,,,,1.26
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(*)cc4)cc3)cc2)cc1,,,,,,,,,,221.0
*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,,,,,,,,,,210.0
*Oc1ccc(Oc2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,,,,,,,,,,192.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,,,,,,,,,,205.0
*CC(CC)(CC)CO*,,,,,,,,,,-30.0
*CC(O*)C(C)C,,,,,,,,,,53.0
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,,,,,,,,,,20.0
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,,,,,,5.6689,5.68,,2.3284,2.6504
*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,,,,,,,,,,50.0
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,,,,,,,,,,21.9
*c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc(Oc5ccc6nc(*)cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,,,,,,,,,,266.0
*ON(C(F)(F)F)C(F)(F)C(*)(F)F,,,,,,,,,,-46.0
*CC(C)(CC)CO*,,,,,,,,,,-47.0
*CC(C)(CO)CO*,,,,,,,,,,62.0
*c1ccc2oc(*)nc2c1,,,,,,,,,,3.9774
*Oc1ccc(C(=O)c2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,,,,,,,,,,157.0
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,,,,,,,,,,159.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,,,,,,,,,,178.0
*/C=C/c1sc(*)c(OCCCC)c1OCCCC,,,,,,,,,,168.0
*Oc1ccc(C(c2ccc(Oc3ccc(C(=O)c4ccccc4-c4ccccc4C(=O)c4ccc(*)cc4)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,,,,,,,,,,178.5
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C(C)(C)C,,,,,,,,,,177.0
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,,,,,,,,,,151.0
*c1c(C)cc(Cc2cc(C)c(N3C(=O)c4ccc(Oc5cccc6c(Oc7ccc8c(c7)C(=O)N(*)C8=O)cccc56)cc4C3=O)c(C)c2)cc1C,,,,,,,,,,281.0
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,,,,,,,,,,251.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(*)cc5)c5ccccc5-c5ccccc54)cc3)cc2)cc1,,,,,,,,,,278.5
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)c2)cc1,,,,,,,,,,228.5
*Oc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc(C(C)(C)C)c2)cc1,,,,,,,,,,255.5
*CC(C[N-][N+]#N)O*,,,,,,,,,,-35.0
*CS*,,,,,,,,,,260.0
*CCS*,,,,,,,,,,-1.5
*CCSSSS*,,,,,,,,,,-24.0
*CC(C)S*,,,,,,,,,,-43.0
*CC(S*)C(C)(C)C,,,,,,,,,,205.0
*CC(CC)S*,,,,,,,,,,-47.0
*CC(COCC=C)S*,,,,,,,,,,-59.0
*CCCS*,,,,,,,,,,-53.5
*CC(C)(C)CS*,,,,,,,,,,-49.3
*CCCCS*,,,,,,,,,,67.0
*CCCCCS*,,,,,,5.7733,,,,69.75
*CCCCCCS*,,,,,,,,,,84.9
*Sc1ccc(*)cc1,,,,,,6.1739,4.15,,1.9808,90.0
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCS*)cc1,,,,,,,,,,70.0
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCS*)cc1,,,,,,,,,,237.0
*CCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCS*)cc1,,,,,,,,,,65.0
*CCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCCCS*)cc1,,,,,,,,,,214.0
*CCCCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCCCCCS*)cc1,,,,,,,,,,200.0
*CCCCC(=O)NCCc1ccc(CCNC(=O)CCCCS*)cc1,,,,,,,,,,252.0
*CCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCS*)cc1,,,,,,,,,,251.0
*CCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCS*)cc1,,,,,,,,,,234.0
*CCCCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCCCS*)cc1,,,,,,,,,,222.0
*CCCCCCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCCCCCS*)cc1,,,,,,,,,,58.0
